Task ID,Job Name,Start Time,Period,Execution Time,Deadline Time,Priority,Finish Time,Least Finish Time,Time Budget,Idle Task Time,Smart Machine ID,Task Completion Status,Total Number of Tasks for Smart Machine X,Utilization Capacity of Smart Machine (%),Total Workload Capacity Required for Smart Machine X
Task 14,Job 1,9,5,3,10,1,12,19,7,3,1,1,14,48,2
Task 15,Job 0,2,10,4,8,1,6,10,4,4,2,1,15,49,20
Task 15,Job 1,7,5,2,12,1,9,19,10,2,4,1,15,49,15
Task 16,Job 0,5,10,4,7,0,9,12,3,4,1,1,16,49,8
Task 16,Job 1,10,4,4,8,0,14,18,4,4,4,1,16,49,14
Task 17,Job 0,8,10,3,12,0,11,20,9,3,2,2,17,50,2
Task 17,Job 1,13,4,1,9,0,14,22,8,1,3,2,17,50,19
Task 18,Job 0,2,9,4,7,0,6,9,3,4,2,2,18,52,13
Task 18,Job 1,7,6,3,12,1,10,19,9,3,3,1,18,52,15
Task 19,Job 0,1,10,2,12,0,3,13,10,2,1,1,19,52,7
Task 19,Job 1,6,4,3,12,0,9,18,9,3,2,1,19,52,5
Task 20,Job 0,1,8,4,9,0,5,10,5,4,4,2,20,53,12
Task 20,Job 1,6,6,3,10,0,9,16,7,3,2,0,20,53,3
Task 21,Job 0,2,7,3,6,0,5,8,3,3,4,1,21,54,3
Task 21,Job 1,7,5,2,7,0,9,14,5,2,2,1,21,54,2
Task 22,Job 0,1,9,3,12,0,4,13,9,3,1,1,22,56,20
Task 22,Job 1,6,6,4,6,0,10,12,2,4,1,0,22,56,3
Task 23,Job 0,5,7,2,8,1,7,13,6,2,3,1,23,57,9
Task 23,Job 1,10,7,1,8,0,11,18,7,1,2,1,23,57,12
Task 24,Job 0,2,6,4,8,1,6,10,4,4,1,2,24,57,12
Task 24,Job 1,7,10,1,7,0,8,14,6,1,3,1,24,57,2
Task 25,Job 0,7,7,1,6,0,8,13,5,1,2,0,25,59,6
Task 25,Job 1,12,9,3,6,1,15,18,3,3,1,2,25,59,15
Task 26,Job 0,4,6,4,8,0,8,12,4,4,1,1,26,60,15
Task 26,Job 1,9,9,3,8,0,12,17,5,3,2,0,26,60,18
Task 27,Job 0,10,6,2,11,0,12,21,9,2,4,0,27,61,17
Task 27,Job 1,15,7,3,7,1,18,22,4,3,2,1,27,61,19
Task 28,Job 0,3,6,2,9,0,5,12,7,2,4,1,28,62,12
Task 28,Job 1,8,8,1,9,1,9,17,8,1,3,0,28,62,3
Task 29,Job 0,10,4,1,8,0,11,18,7,1,3,0,29,63,2
Task 29,Job 1,15,9,4,7,0,19,22,3,4,1,0,29,63,10
Task 30,Job 0,8,9,3,6,1,11,14,3,3,1,0,30,63,19
Task 30,Job 1,13,9,3,8,0,16,21,5,3,2,2,30,63,10
Task 31,Job 0,1,6,1,11,0,2,12,10,1,1,2,31,65,20
Task 31,Job 1,6,8,3,11,1,9,17,8,3,4,2,31,65,19
Task 32,Job 0,1,6,2,8,0,3,9,6,2,2,1,32,65,19
Task 32,Job 1,6,10,1,12,0,7,18,11,1,1,2,32,65,10
Task 33,Job 0,7,4,1,9,0,8,16,8,1,4,0,33,66,7
Task 33,Job 1,12,4,2,7,1,14,19,5,2,1,1,33,66,12
Task 34,Job 0,7,8,2,10,0,9,17,8,2,1,1,34,68,8
Task 34,Job 1,12,7,1,9,0,13,21,8,1,4,0,34,68,4
Task 35,Job 0,2,6,2,6,1,4,8,4,2,4,0,35,69,5
Task 35,Job 1,7,9,3,8,0,10,15,5,3,4,1,35,69,19
Task 36,Job 0,3,6,4,8,0,7,11,4,4,1,2,36,69,13
Task 36,Job 1,8,4,4,6,0,12,14,2,4,4,1,36,69,4
Task 37,Job 0,8,9,3,10,1,11,18,7,3,3,2,37,71,20
Task 37,Job 1,13,5,2,10,0,15,23,8,2,3,1,37,71,6
Task 38,Job 0,8,8,2,8,0,10,16,6,2,1,2,38,71,3
Task 38,Job 1,13,4,1,10,0,14,23,9,1,3,0,38,71,4
Task 39,Job 0,7,7,1,11,0,8,18,10,1,1,0,39,73,18
Task 39,Job 1,12,6,3,8,1,15,20,5,3,3,0,39,73,6
Task 40,Job 0,5,10,2,7,0,7,12,5,2,3,0,40,73,19
Task 40,Job 1,10,8,4,6,1,14,16,2,4,1,2,40,73,14
Task 41,Job 0,2,5,1,6,0,3,8,5,1,1,2,41,74,15
Task 41,Job 1,7,4,4,6,0,11,13,2,4,4,0,41,74,4
Task 42,Job 0,5,9,1,6,0,6,11,5,1,3,1,42,75,17
Task 42,Job 1,10,5,4,12,0,14,22,8,4,1,2,42,75,20
Task 43,Job 0,2,10,3,6,0,5,8,3,3,1,0,43,76,7
Task 43,Job 1,7,6,2,9,0,9,16,7,2,2,0,43,76,3
Task 44,Job 0,9,7,4,11,0,13,20,7,4,4,0,44,78,6
Task 44,Job 1,14,6,1,7,0,15,21,6,1,4,2,44,78,15
Task 45,Job 0,9,10,1,6,0,10,15,5,1,4,2,45,78,8
Task 45,Job 1,14,10,2,9,1,16,23,7,2,3,2,45,78,4
Task 46,Job 0,8,7,1,11,0,9,19,10,1,1,1,46,79,15
Task 46,Job 1,13,9,3,11,0,16,24,8,3,2,1,46,79,11
Task 47,Job 0,1,9,2,7,1,3,8,5,2,2,0,47,81,7
Task 47,Job 1,6,7,1,6,0,7,12,5,1,4,1,47,81,13
Task 48,Job 0,6,8,1,7,0,7,13,6,1,3,1,48,82,6
Task 48,Job 1,11,9,3,10,0,14,21,7,3,1,0,48,82,8
Task 49,Job 0,4,6,3,6,0,7,10,3,3,3,2,49,83,7
Task 49,Job 1,9,9,4,8,1,13,17,4,4,2,2,49,83,2
Task 50,Job 0,10,8,1,7,0,11,17,6,1,2,1,50,84,15
Task 50,Job 1,15,10,4,9,0,19,24,5,4,1,0,50,84,11
Task 51,Job 0,9,4,2,11,1,11,20,9,2,2,1,51,84,17
Task 51,Job 1,14,9,4,6,0,18,20,2,4,3,1,51,84,9
Task 52,Job 0,10,7,4,8,0,14,18,4,4,1,0,52,86,2
Task 52,Job 1,15,8,4,12,1,19,27,8,4,4,2,52,86,4
Task 53,Job 0,7,5,2,11,1,9,18,9,2,4,0,53,86,18
Task 53,Job 1,12,5,3,12,0,15,24,9,3,2,1,53,86,19
Task 54,Job 0,3,7,3,9,1,6,12,6,3,4,0,54,88,2
Task 54,Job 1,8,10,1,6,0,9,14,5,1,2,2,54,88,18
Task 55,Job 0,8,5,1,11,0,9,19,10,1,2,1,55,88,15
Task 55,Job 1,13,8,1,9,0,14,22,8,1,3,1,55,88,3
Task 56,Job 0,9,9,1,9,1,10,18,8,1,1,2,56,89,16
Task 56,Job 1,14,5,3,12,0,17,26,9,3,3,1,56,89,3
Task 57,Job 0,1,5,3,7,0,4,8,4,3,2,2,57,90,18
Task 57,Job 1,6,4,3,12,1,9,18,9,3,1,2,57,90,18
Task 58,Job 0,4,7,3,11,0,7,15,8,3,3,1,58,91,13
Task 58,Job 1,9,9,4,9,0,13,18,5,4,4,1,58,91,14
Task 59,Job 0,1,8,4,10,1,5,11,6,4,4,2,59,92,10
Task 59,Job 1,6,6,4,9,0,10,15,5,4,2,1,59,92,3
Task 60,Job 0,1,9,2,8,0,3,9,6,2,3,2,60,93,14
Task 60,Job 1,6,6,4,9,0,10,15,5,4,4,0,60,93,2
Task 61,Job 0,1,6,2,11,0,3,12,9,2,4,2,61,94,18
Task 61,Job 1,6,4,3,8,0,9,14,5,3,3,1,61,94,18
Task 62,Job 0,1,10,3,10,0,4,11,7,3,1,0,62,95,16
Task 62,Job 1,6,9,3,12,0,9,18,9,3,4,0,62,95,17
Task 63,Job 0,7,5,3,7,1,10,14,4,3,4,2,63,97,10
Task 63,Job 1,12,8,1,10,1,13,22,9,1,2,2,63,97,17
Task 64,Job 0,3,10,4,11,1,7,14,7,4,2,1,64,98,10
Task 64,Job 1,8,10,3,10,0,11,18,7,3,4,2,64,98,18
Task 65,Job 0,2,4,2,11,0,4,13,9,2,2,0,65,99,19
Task 65,Job 1,7,5,3,10,0,10,17,7,3,3,0,65,99,9
Task 66,Job 0,6,10,2,10,0,8,16,8,2,1,1,66,99,5
Task 66,Job 1,11,4,2,11,0,13,22,9,2,1,0,66,99,13
Task 67,Job 0,5,7,3,10,0,8,15,7,3,2,2,67,101,20
Task 67,Job 1,10,9,4,9,0,14,19,5,4,2,2,67,101,13
Task 68,Job 0,10,4,3,10,0,13,20,7,3,2,0,68,102,2
Task 68,Job 1,15,10,2,10,0,17,25,8,2,4,0,68,102,10
Task 69,Job 0,1,9,1,8,1,2,9,7,1,2,1,69,103,19
Task 69,Job 1,6,4,2,8,0,8,14,6,2,4,1,69,103,11
Task 70,Job 0,5,9,3,9,0,8,14,6,3,3,2,70,103,8
Task 70,Job 1,10,9,2,8,0,12,18,6,2,2,0,70,103,8
Task 71,Job 0,6,10,4,10,1,10,16,6,4,1,2,71,104,5
Task 71,Job 1,11,9,3,6,0,14,17,3,3,3,2,71,104,4
Task 72,Job 0,3,7,2,9,1,5,12,7,2,4,1,72,105,16
Task 72,Job 1,8,9,2,12,0,10,20,10,2,3,1,72,105,17
Task 73,Job 0,4,10,3,6,0,7,10,3,3,2,0,73,106,12
Task 73,Job 1,9,4,2,9,0,11,18,7,2,1,0,73,106,5
Task 74,Job 0,1,5,2,12,0,3,13,10,2,2,2,74,108,5
Task 74,Job 1,6,10,1,7,0,7,13,6,1,1,1,74,108,18
Task 75,Job 0,10,5,4,12,1,14,22,8,4,1,0,75,108,11
Task 75,Job 1,15,5,4,8,0,19,23,4,4,1,2,75,108,3
Task 76,Job 0,1,7,4,6,0,5,7,2,4,4,0,76,109,11
Task 76,Job 1,6,4,2,11,0,8,17,9,2,2,2,76,109,2
Task 77,Job 0,1,9,2,9,0,3,10,7,2,1,1,77,110,6
Task 77,Job 1,6,7,3,11,0,9,17,8,3,2,1,77,110,17
Task 78,Job 0,4,6,2,12,0,6,16,10,2,1,1,78,112,10
Task 78,Job 1,9,9,4,9,0,13,18,5,4,1,0,78,112,5
Task 79,Job 0,3,4,2,9,0,5,12,7,2,3,2,79,112,12
Task 79,Job 1,8,6,2,10,0,10,18,8,2,1,0,79,112,11
Task 80,Job 0,4,6,4,12,0,8,16,8,4,1,0,80,114,18
Task 80,Job 1,9,6,2,6,1,11,15,4,2,4,1,80,114,5
Task 81,Job 0,4,4,4,8,0,8,12,4,4,2,2,81,114,3
Task 81,Job 1,9,8,3,10,1,12,19,7,3,2,2,81,114,19
Task 82,Job 0,1,7,1,10,0,2,11,9,1,4,2,82,116,20
Task 82,Job 1,6,4,2,7,1,8,13,5,2,3,0,82,116,4
Task 83,Job 0,3,10,2,12,0,5,15,10,2,3,0,83,116,2
Task 83,Job 1,8,5,4,7,0,12,15,3,4,2,0,83,116,2
Task 84,Job 0,5,6,3,12,0,8,17,9,3,3,2,84,118,2
Task 84,Job 1,10,7,3,10,0,13,20,7,3,1,0,84,118,6
Task 85,Job 0,2,4,2,6,0,4,8,4,2,2,0,85,119,17
Task 85,Job 1,7,8,2,7,1,9,14,5,2,1,0,85,119,5
Task 86,Job 0,3,6,1,8,0,4,11,7,1,4,1,86,120,7
Task 86,Job 1,8,7,3,11,0,11,19,8,3,1,2,86,120,14
Task 87,Job 0,5,9,1,12,0,6,17,11,1,2,0,87,120,4
Task 87,Job 1,10,4,2,7,1,12,17,5,2,3,0,87,120,4
Task 88,Job 0,8,9,1,9,0,9,17,8,1,2,2,88,121,8
Task 88,Job 1,13,7,2,7,0,15,20,5,2,2,0,88,121,15
Task 89,Job 0,5,10,2,12,0,7,17,10,2,3,0,89,122,8
Task 89,Job 1,10,9,4,9,0,14,19,5,4,1,0,89,122,13
Task 90,Job 0,7,6,3,10,0,10,17,7,3,3,2,90,123,3
Task 90,Job 1,12,10,4,7,0,16,19,3,4,2,0,90,123,15
Task 91,Job 0,8,5,2,7,0,10,15,5,2,1,0,91,125,3
Task 91,Job 1,13,10,4,9,1,17,22,5,4,1,2,91,125,8
Task 92,Job 0,8,7,4,10,0,12,18,6,4,2,1,92,125,9
Task 92,Job 1,13,9,1,8,0,14,21,7,1,4,0,92,125,3
Task 93,Job 0,3,5,3,8,0,6,11,5,3,1,1,93,126,14
Task 93,Job 1,8,6,2,9,0,10,17,7,2,1,1,93,126,19
Task 94,Job 0,6,10,2,10,0,8,16,8,2,1,1,94,127,5
Task 94,Job 1,11,9,4,11,1,15,22,7,4,1,1,94,127,17
Task 95,Job 0,6,10,3,10,0,9,16,7,3,3,2,95,129,17
Task 95,Job 1,11,7,2,12,0,13,23,10,2,4,1,95,129,15
Task 96,Job 0,6,6,3,9,0,9,15,6,3,1,2,96,129,11
Task 96,Job 1,11,4,2,12,0,13,23,10,2,4,0,96,129,8
Task 97,Job 0,5,5,3,10,0,8,15,7,3,4,2,97,130,15
Task 97,Job 1,10,5,4,6,0,14,16,2,4,1,0,97,130,9
Task 98,Job 0,9,9,4,10,0,13,19,6,4,3,2,98,131,2
Task 98,Job 1,14,4,1,6,0,15,20,5,1,1,1,98,131,17
Task 99,Job 0,8,10,4,12,0,12,20,8,4,2,0,99,133,20
Task 99,Job 1,13,7,4,11,0,17,24,7,4,4,2,99,133,18
Task 100,Job 0,4,4,4,9,0,8,13,5,4,1,2,100,134,6
Task 100,Job 1,9,6,4,12,0,13,21,8,4,2,0,100,134,18
Task 101,Job 0,4,4,3,6,0,7,10,3,3,2,1,101,134,7
Task 101,Job 1,9,8,4,6,0,13,15,2,4,2,2,101,134,10
Task 102,Job 0,9,4,1,12,0,10,21,11,1,2,0,102,135,17
Task 102,Job 1,14,8,4,11,0,18,25,7,4,2,0,102,135,13
Task 103,Job 0,9,7,3,10,0,12,19,7,3,1,0,103,137,17
Task 103,Job 1,14,10,4,12,0,18,26,8,4,2,1,103,137,12
Task 104,Job 0,4,5,1,10,0,5,14,9,1,3,2,104,137,10
Task 104,Job 1,9,5,3,9,0,12,18,6,3,1,2,104,137,4
Task 105,Job 0,7,4,1,10,0,8,17,9,1,3,2,105,139,19
Task 105,Job 1,12,10,4,9,1,16,21,5,4,1,1,105,139,17
Task 106,Job 0,5,10,4,12,0,9,17,8,4,2,2,106,140,18
Task 106,Job 1,10,7,4,11,0,14,21,7,4,1,1,106,140,9
Task 107,Job 0,6,8,2,6,0,8,12,4,2,1,2,107,140,17
Task 107,Job 1,11,5,4,8,0,15,19,4,4,4,2,107,140,19
Task 108,Job 0,4,6,4,8,0,8,12,4,4,4,0,108,141,19
Task 108,Job 1,9,6,4,11,0,13,20,7,4,4,1,108,141,15
Task 109,Job 0,8,7,1,7,0,9,15,6,1,1,0,109,142,19
Task 109,Job 1,13,7,3,10,0,16,23,7,3,4,2,109,142,3
Task 110,Job 0,7,8,3,10,1,10,17,7,3,3,0,110,143,17
Task 110,Job 1,12,9,2,12,0,14,24,10,2,1,1,110,143,2
Task 111,Job 0,2,4,1,10,0,3,12,9,1,3,2,111,144,17
Task 111,Job 1,7,7,2,12,0,9,19,10,2,4,2,111,144,9
Task 112,Job 0,10,7,3,12,0,13,22,9,3,1,0,112,145,5
Task 112,Job 1,15,7,2,12,0,17,27,10,2,3,0,112,145,15
Task 113,Job 0,3,9,4,10,1,7,13,6,4,3,0,113,147,2
Task 113,Job 1,8,9,4,9,0,12,17,5,4,1,2,113,147,4
Task 114,Job 0,7,6,2,12,1,9,19,10,2,4,0,114,147,17
Task 114,Job 1,12,4,4,8,0,16,20,4,4,3,0,114,147,20
Task 115,Job 0,5,4,2,10,0,7,15,8,2,4,0,115,149,19
Task 115,Job 1,10,8,1,7,0,11,17,6,1,2,2,115,149,2
Task 116,Job 0,7,5,3,8,0,10,15,5,3,3,0,116,149,6
Task 116,Job 1,12,7,1,12,1,13,24,11,1,3,0,116,149,12
Task 117,Job 0,5,9,3,8,1,8,13,5,3,3,0,117,150,6
Task 117,Job 1,10,8,3,10,0,13,20,7,3,1,2,117,150,3
Task 118,Job 0,8,7,3,9,0,11,17,6,3,3,1,118,151,9
Task 118,Job 1,13,5,1,11,1,14,24,10,1,4,2,118,151,5
Task 119,Job 0,9,10,4,8,1,13,17,4,4,4,2,119,153,17
Task 119,Job 1,14,8,3,12,1,17,26,9,3,4,2,119,153,17
Task 120,Job 0,9,6,4,11,0,13,20,7,4,1,1,120,153,18
Task 120,Job 1,14,8,3,10,0,17,24,7,3,2,1,120,153,12
Task 121,Job 0,9,10,4,10,0,13,19,6,4,4,0,121,154,10
Task 121,Job 1,14,5,4,6,0,18,20,2,4,1,0,121,154,18
Task 122,Job 0,1,5,2,9,0,3,10,7,2,4,2,122,155,12
Task 122,Job 1,6,9,2,7,0,8,13,5,2,2,1,122,155,7
Task 123,Job 0,8,6,4,6,0,12,14,2,4,3,0,123,157,14
Task 123,Job 1,13,6,3,8,0,16,21,5,3,1,0,123,157,20
Task 124,Job 0,7,10,4,9,0,11,16,5,4,1,2,124,157,11
Task 124,Job 1,12,8,1,12,0,13,24,11,1,1,2,124,157,14
Task 125,Job 0,5,7,3,7,0,8,12,4,3,1,0,125,159,20
Task 125,Job 1,10,8,1,10,0,11,20,9,1,3,1,125,159,15
Task 126,Job 0,8,9,3,8,0,11,16,5,3,1,0,126,159,2
Task 126,Job 1,13,7,4,9,0,17,22,5,4,4,1,126,159,11
Task 127,Job 0,3,4,3,8,0,6,11,5,3,3,1,127,161,10
Task 127,Job 1,8,10,1,9,0,9,17,8,1,4,1,127,161,8
Task 128,Job 0,6,9,4,12,1,10,18,8,4,3,0,128,162,9
Task 128,Job 1,11,10,2,7,0,13,18,5,2,3,1,128,162,12
Task 129,Job 0,6,4,1,6,1,7,12,5,1,3,2,129,163,19
Task 129,Job 1,11,6,3,10,0,14,21,7,3,2,1,129,163,2
Task 130,Job 0,8,6,1,7,0,9,15,6,1,4,2,130,164,18
Task 130,Job 1,13,10,1,6,0,14,19,5,1,1,1,130,164,11
Task 131,Job 0,10,4,1,7,0,11,17,6,1,1,0,131,165,2
Task 131,Job 1,15,7,2,9,1,17,24,7,2,2,2,131,165,13
Task 132,Job 0,8,9,3,10,0,11,18,7,3,1,1,132,166,12
Task 132,Job 1,13,5,3,9,1,16,22,6,3,3,0,132,166,2
Task 133,Job 0,9,9,1,7,1,10,16,6,1,1,1,133,167,7
Task 133,Job 1,14,6,4,9,0,18,23,5,4,2,1,133,167,2
Task 134,Job 0,9,6,3,11,0,12,20,8,3,2,2,134,168,14
Task 134,Job 1,14,10,4,7,1,18,21,3,4,1,0,134,168,9
Task 135,Job 0,8,6,3,11,0,11,19,8,3,1,1,135,168,15
Task 135,Job 1,13,6,3,10,0,16,23,7,3,3,2,135,168,18
Task 136,Job 0,7,9,2,12,0,9,19,10,2,1,1,136,170,18
Task 136,Job 1,12,8,2,11,0,14,23,9,2,1,1,136,170,6
Task 137,Job 0,2,9,3,10,0,5,12,7,3,4,1,137,170,12
Task 137,Job 1,7,4,1,8,0,8,15,7,1,3,0,137,170,17
Task 138,Job 0,2,5,1,6,0,3,8,5,1,1,1,138,172,2
Task 138,Job 1,7,8,2,11,0,9,18,9,2,1,1,138,172,3
Task 139,Job 0,9,10,4,7,1,13,16,3,4,1,0,139,173,10
Task 139,Job 1,14,4,3,7,1,17,21,4,3,3,2,139,173,20
Task 140,Job 0,3,4,4,12,0,7,15,8,4,1,0,140,173,9
Task 140,Job 1,8,6,1,12,0,9,20,11,1,3,1,140,173,15
Task 141,Job 0,10,8,4,11,1,14,21,7,4,3,0,141,175,19
Task 141,Job 1,15,5,4,6,1,19,21,2,4,3,1,141,175,16
Task 142,Job 0,9,6,3,11,0,12,20,8,3,4,1,142,175,5
Task 142,Job 1,14,7,2,7,0,16,21,5,2,3,1,142,175,18
Task 143,Job 0,7,9,2,6,0,9,13,4,2,4,2,143,177,12
Task 143,Job 1,12,6,3,11,0,15,23,8,3,2,1,143,177,4
Task 144,Job 0,6,8,1,12,1,7,18,11,1,1,0,144,177,13
Task 144,Job 1,11,10,1,10,0,12,21,9,1,1,2,144,177,3
Task 145,Job 0,1,4,4,9,1,5,10,5,4,2,0,145,179,12
Task 145,Job 1,6,6,2,11,0,8,17,9,2,3,2,145,179,13
Task 146,Job 0,8,5,3,7,0,11,15,4,3,2,2,146,179,14
Task 146,Job 1,13,6,4,9,1,17,22,5,4,2,0,146,179,18
Task 147,Job 0,10,9,4,12,0,14,22,8,4,2,1,147,181,17
Task 147,Job 1,15,6,3,10,1,18,25,7,3,3,0,147,181,8
Task 148,Job 0,5,5,1,11,1,6,16,10,1,2,2,148,181,10
Task 148,Job 1,10,5,1,6,1,11,16,5,1,4,2,148,181,10
Task 149,Job 0,10,4,3,9,0,13,19,6,3,3,0,149,183,2
Task 149,Job 1,15,4,1,6,1,16,21,5,1,4,0,149,183,14
Task 150,Job 0,6,8,3,9,0,9,15,6,3,4,0,150,184,11
Task 150,Job 1,11,8,1,12,0,12,23,11,1,1,1,150,184,3
Task 151,Job 0,9,5,3,12,0,12,21,9,3,4,0,151,184,12
Task 151,Job 1,14,8,4,10,1,18,24,6,4,1,1,151,184,14
Task 152,Job 0,1,10,3,11,0,4,12,8,3,1,2,152,186,20
Task 152,Job 1,6,4,1,10,0,7,16,9,1,2,1,152,186,3
Task 153,Job 0,4,7,3,12,0,7,16,9,3,2,2,153,186,20
Task 153,Job 1,9,5,3,7,0,12,16,4,3,4,2,153,186,18
Task 154,Job 0,7,6,4,7,1,11,14,3,4,1,0,154,187,18
Task 154,Job 1,12,5,4,11,0,16,23,7,4,3,2,154,187,3
Task 155,Job 0,4,4,2,9,1,6,13,7,2,1,0,155,188,16
Task 155,Job 1,9,7,3,10,0,12,19,7,3,2,0,155,188,6
Task 156,Job 0,4,9,3,6,0,7,10,3,3,1,1,156,189,6
Task 156,Job 1,9,8,3,11,0,12,20,8,3,2,2,156,189,16
Task 157,Job 0,7,7,4,12,0,11,19,8,4,2,0,157,190,7
Task 157,Job 1,12,6,3,10,0,15,22,7,3,2,1,157,190,5
Task 158,Job 0,4,5,4,8,0,8,12,4,4,2,1,158,191,9
Task 158,Job 1,9,9,4,10,1,13,19,6,4,2,0,158,191,4
Task 159,Job 0,1,5,2,7,1,3,8,5,2,4,0,159,193,18
Task 159,Job 1,6,7,2,8,0,8,14,6,2,4,0,159,193,16
Task 160,Job 0,6,7,2,10,0,8,16,8,2,2,0,160,194,19
Task 160,Job 1,11,10,4,11,1,15,22,7,4,2,1,160,194,13
Task 161,Job 0,7,5,3,6,0,10,13,3,3,4,1,161,195,8
Task 161,Job 1,12,4,2,9,1,14,21,7,2,3,2,161,195,2
Task 162,Job 0,5,7,4,9,0,9,14,5,4,2,2,162,195,2
Task 162,Job 1,10,5,1,11,0,11,21,10,1,2,1,162,195,14
Task 163,Job 0,5,7,3,11,0,8,16,8,3,2,0,163,197,4
Task 163,Job 1,10,6,3,11,0,13,21,8,3,4,0,163,197,16
Task 164,Job 0,9,4,2,7,0,11,16,5,2,4,0,164,198,20
Task 164,Job 1,14,8,1,10,0,15,24,9,1,1,1,164,198,3
Task 165,Job 0,6,5,4,9,0,10,15,5,4,3,0,165,199,15
Task 165,Job 1,11,10,1,12,0,12,23,11,1,3,0,165,199,10
Task 166,Job 0,4,7,4,12,0,8,16,8,4,2,1,166,200,20
Task 166,Job 1,9,4,2,12,0,11,21,10,2,3,2,166,200,16
Task 167,Job 0,9,8,1,6,0,10,15,5,1,2,2,167,200,11
Task 167,Job 1,14,5,3,8,0,17,22,5,3,3,0,167,200,17
Task 168,Job 0,10,9,3,6,0,13,16,3,3,3,2,168,201,7
Task 168,Job 1,15,5,4,7,1,19,22,3,4,1,2,168,201,17
Task 169,Job 0,6,9,1,6,0,7,12,5,1,2,1,169,203,12
Task 169,Job 1,11,4,2,12,0,13,23,10,2,2,2,169,203,2
Task 170,Job 0,6,10,4,7,0,10,13,3,4,4,0,170,204,17
Task 170,Job 1,11,10,2,12,0,13,23,10,2,3,1,170,204,2
Task 171,Job 0,10,6,2,9,0,12,19,7,2,4,1,171,205,15
Task 171,Job 1,15,6,2,11,1,17,26,9,2,4,0,171,205,4
Task 172,Job 0,10,5,4,12,0,14,22,8,4,3,1,172,205,13
Task 172,Job 1,15,5,2,12,0,17,27,10,2,4,0,172,205,17
Task 173,Job 0,3,5,4,6,0,7,9,2,4,1,2,173,207,10
Task 173,Job 1,8,9,1,6,0,9,14,5,1,3,2,173,207,7
Task 174,Job 0,3,10,3,8,0,6,11,5,3,3,1,174,207,14
Task 174,Job 1,8,8,1,7,1,9,15,6,1,3,0,174,207,16
Task 175,Job 0,1,8,4,9,0,5,10,5,4,1,2,175,209,7
Task 175,Job 1,6,10,1,10,0,7,16,9,1,1,1,175,209,4
Task 176,Job 0,8,6,3,11,0,11,19,8,3,1,0,176,210,7
Task 176,Job 1,13,6,2,12,1,15,25,10,2,3,2,176,210,13
Task 177,Job 0,4,7,3,10,0,7,14,7,3,2,2,177,211,13
Task 177,Job 1,9,10,1,8,1,10,17,7,1,2,1,177,211,9
Task 178,Job 0,3,8,2,9,0,5,12,7,2,4,1,178,212,18
Task 178,Job 1,8,7,1,8,0,9,16,7,1,1,2,178,212,12
Task 179,Job 0,10,7,4,11,0,14,21,7,4,1,2,179,213,14
Task 179,Job 1,15,8,1,9,1,16,24,8,1,3,1,179,213,19
Task 180,Job 0,1,8,1,9,1,2,10,8,1,4,1,180,214,10
Task 180,Job 1,6,9,4,12,0,10,18,8,4,2,1,180,214,11
Task 181,Job 0,9,9,2,9,1,11,18,7,2,2,2,181,214,7
