Task ID,Temperature,Humidity
Task 101,13.25,79.109
Task 102,10.847,61.449
Task 103,11.911,60.683
Task 104,16.773,76.75
Task 105,9.744,64.197
Task 106,9.141,73.097
Task 107,8.558,77.712
Task 108,13.518,77.116
Task 109,16.1,66.128
Task 110,13.525,81.658
Task 111,18.832,76.173
Task 112,16.257,79.448
Task 113,14.234,71.354
Task 114,9.61,63.307
Task 115,16.831,72.471
Task 116,17.706,69.421
Task 117,8.902,77.4
Task 118,17.499,70.666
Task 119,10.878,79.068
Task 120,11.907,61.53
Task 121,13.855,81.555
Task 122,9.259,76.561
Task 123,15.355,75.086
Task 124,15.852,71.829
Task 125,11.609,73.869
Task 126,10.344,63.949
Task 127,7.99,66.133
Task 128,11.787,63.429
Task 129,18.898,67.783
Task 130,10.799,81.609
Task 131,13.611,66.563
Task 132,10.391,76.126
Task 133,15.111,63.252
Task 134,16.342,70.68
Task 135,8.31,68.902
Task 136,17.135,74.657
Task 137,13.094,81.947
Task 138,16.114,58.903
Task 139,15.978,75.944
Task 140,9.37,75.563
Task 141,16.404,72.303
Task 142,16.647,74.041
Task 143,15.465,76.151
Task 144,7.55,72.384
Task 145,13.694,73.592
Task 146,7.995,58.053
Task 147,10.192,71.74
Task 148,14.024,75.846
Task 149,18.005,64.778
Task 150,8.649,66.814
Task 151,11.037,76.567
Task 152,18.195,64.347
Task 153,18.877,74.307
Task 154,11.364,73.955
Task 155,7.03,73.891
Task 156,14.572,70.968
Task 157,11.486,60.138
Task 158,13.901,69.101
Task 159,18.415,70.512
Task 160,17.708,65.307
Task 161,15.846,63.931
Task 162,7.927,60.209
Task 163,11.103,62.192
Task 164,15.894,77.066
Task 165,16.237,60.687
Task 166,16.389,62.752
Task 167,12.795,59.597
Task 168,14.908,67.721
Task 169,11.871,63.585
Task 170,7.688,58.836
Task 171,8.306,62.465
Task 172,8.875,78.57
Task 173,7.83,68.337
Task 174,17.045,81.035
Task 175,18.121,79.425
Task 176,7.995,66.284
Task 177,13.493,80.429
Task 178,14.399,80.736
Task 179,10.476,73.146
Task 180,16.077,75.804
Task 181,7.257,79.91
Task 182,17.03,59.09
Task 183,9.561,64.106
Task 184,12.302,78.169
Task 185,7.084,63.703
Task 186,15.352,70.064
Task 187,7.324,63.95
Task 188,16.711,65.346
Task 189,7.532,80.509
Task 190,17.907,67.228
Task 191,15.123,62.593
Task 192,15.415,67.293
Task 193,9.96,80.725
Task 194,16.142,72.081
Task 195,17.501,62.32
Task 196,12.893,75.075
Task 197,12.362,70.482
Task 198,17.707,76.372
Task 199,8.028,73.076
Task 200,13.427,58.761
Task 201,8.764,75.555
Task 202,17.202,72.239
Task 203,12.741,75.577
Task 204,16.552,63.304
Task 205,17.975,65.736
Task 206,18.391,66.785
Task 207,13.617,64.243
Task 208,18.757,67.94
Task 209,9.892,78.489
Task 210,14.978,69.05
Task 211,10.874,60.307
Task 212,7.015,69.648
Task 213,13.954,80.571
Task 214,15.378,80.145
Task 215,8.227,77.18
Task 216,18.212,75.658
Task 217,14.48,81.084
Task 218,11.803,64.398
Task 219,17.273,76.583
Task 220,11.577,79.956
Task 221,10.182,78.934
Task 222,9.092,66.224
Task 223,7.332,73.642
Task 224,12.262,60.055
Task 225,7.204,72.825
Task 226,12.827,61.905
Task 227,9.278,77.58
Task 228,9.031,79.34
Task 229,16.338,76.39
Task 230,15.964,66.052
Task 231,14.774,62.399
Task 232,13.397,67.679
Task 233,7.939,79.589
Task 234,15.834,69.448
Task 235,10.405,76.477
Task 236,18.549,74.337
Task 237,11.237,79.782
Task 238,16.891,64.43
Task 239,18.037,77.424
Task 240,8.251,71.635
Task 241,7.305,80.788
Task 242,18.299,76.294
Task 243,13.174,68.629
Task 244,7.827,58.849
Task 245,13.246,71.43
Task 246,10.464,64.596
Task 247,16.53,61.036
Task 248,12.982,69.318
Task 249,7.858,81.262
Task 250,16.065,68.521
Task 251,10.686,64.249
Task 252,9.688,75.142
Task 253,9.848,62.633
Task 254,18.437,68.46
Task 255,18.088,65.998
Task 256,9.662,69.099
Task 257,12.981,61.166
Task 258,8.962,71.248
Task 259,8.394,80.171
Task 260,18.279,78.622
Task 261,13.961,75.149
Task 262,18.585,77.698
Task 263,13.4,58.325
Task 264,10.745,72.603
Task 265,15.871,68.453
Task 266,15.303,73.552
Task 267,14.754,70.654
Task 268,7.348,64.325
Task 269,10.152,78.902
Task 270,7.624,71.126
Task 271,11.704,76.95
Task 272,10.89,63.436
Task 273,9.947,61.119
Task 274,9.07,75.766
Task 275,18.849,61.66
Task 276,17.656,68.259
Task 277,13.624,77.033
Task 278,10.032,71.387
Task 279,13.406,70.957
Task 280,12.391,78.132
Task 281,7.578,71.99
Task 282,10.915,73.887
Task 283,13.793,65.856
Task 284,10.25,76.582
Task 285,16.105,80.014
Task 286,11.98,62.62
Task 287,13.678,79.13
Task 288,9.282,63.896
Task 289,9.317,77.698
Task 290,12.196,60.494
Task 291,11.483,76.347
Task 292,15.221,77.79
Task 293,16.631,59.789
Task 294,16.582,75.747
Task 295,14.441,70.522
Task 296,10.63,62.822
Task 297,15.878,62.129
Task 298,17.57,60.697
Task 299,12.9,65.216
Task 300,17.73,77.846
Task 301,8.845,62.582
Task 302,15.025,81.486
Task 303,7.075,59.584
Task 304,9.691,79.305
Task 305,16.294,78.502
Task 306,18.608,67.234
Task 307,12.246,80.204
Task 308,10.739,67.696
Task 309,18.345,81.84
Task 310,16.236,73.374
Task 311,17.097,65.946
Task 312,7.195,80.906
Task 313,15.203,61.947
Task 314,18.475,74.639
Task 315,11.007,81.241
Task 316,13.741,68.042
Task 317,8.895,61.569
Task 318,10.4,64.073
Task 319,9.174,71.958
Task 320,12.46,80.448
Task 321,14.677,75.634
Task 322,10.322,73.795
Task 323,10.217,79.815
Task 324,15.509,60.796
Task 325,7.745,61.345
Task 326,15.501,81.456
Task 327,17.216,60.805
Task 328,7.582,67.336
Task 329,18.527,70.784
Task 330,8.075,64.567
Task 331,17.317,71.428
Task 332,15.336,75.856
Task 333,15.731,77.208
Task 334,17.215,79.909
Task 335,18.552,77.829
Task 336,8.63,80.585
Task 337,17.978,70.844
Task 338,12.151,70.236
Task 339,7.173,67.555
Task 340,12.595,69.496
Task 341,13.588,59.57
Task 342,13.856,70.725
Task 343,10.93,70.374
Task 344,17.191,66.29
Task 345,13.955,66.529
Task 346,15.735,79.855
Task 347,11.905,76.749
Task 348,8.199,65.163
Task 349,13.63,65.887
Task 350,7.419,58.256
Task 351,11.077,76.442
Task 352,14.144,67.569
Task 353,10.221,76.416
Task 354,13.802,66.067
Task 355,11.479,68.231
Task 356,12.642,62.09
Task 357,9.707,59.503
Task 358,10.061,80.952
Task 359,14.352,65.947
Task 360,17.216,80.797
Task 361,10.611,64.539
Task 362,12.266,71.686
Task 363,15.718,74.29
Task 364,8.384,70.454
Task 365,16.531,66.781
Task 366,7.538,77.728
Task 367,13.506,65.668
Task 368,7.387,67.851
Task 369,18.666,72.277
Task 370,9.712,64.727
Task 371,16.004,64.609
Task 372,16.932,78.286
Task 373,15.248,67.342
Task 374,13.361,67.615
Task 375,15.358,74.31
Task 376,17.617,64.716
Task 377,8.178,69.56
Task 378,16.223,76.391
Task 379,18.611,78.546
Task 380,15.262,80.036
Task 381,7.977,80.392
Task 382,17.104,67.643
Task 383,17.214,64.13
Task 384,7.223,70.662
Task 385,14.512,73.831
Task 386,11.125,62.313
Task 387,18.287,63.207
Task 388,15.255,80.681
Task 389,11.263,81.68
Task 390,18.795,77.785
Task 391,15.038,66.863
Task 392,11.047,65.477
Task 393,10.049,73.063
Task 394,16.308,67.81
Task 395,13.795,63.148
Task 396,7.801,64.291
Task 397,12.808,76.391
Task 398,10.463,77.029
Task 399,16.326,75.896
Task 400,12.582,69.194
Task 401,17.636,75.504
Task 402,15.496,76.953
Task 403,14.514,65.918
Task 404,13.288,77.191
Task 405,10.168,62.313
Task 406,14.219,71.767
Task 407,18.329,69.64
Task 408,17.224,63.694
Task 409,10.423,58.538
Task 410,11.032,71.192
Task 411,15.508,79.543
Task 412,18.227,70.07
Task 413,15.261,78.469
Task 414,8.279,68.891
Task 415,14.844,61.201
Task 416,18.639,78.387
Task 417,8.358,79.131
Task 418,12.218,77.863
Task 419,8.109,73.47
Task 420,14.875,74.523
Task 421,17.299,64.941
Task 422,7.83,58.606
Task 423,10.351,78.658
Task 424,16.271,76.108
Task 425,17.717,81.99
Task 426,17.323,67.838
Task 427,13.188,67.915
Task 428,15.91,73.876
Task 429,12.64,76.476
Task 430,7.22,58.515
Task 431,18.304,60.93
Task 432,13.428,71.795
Task 433,10.76,59.276
Task 434,11.486,72.238
Task 435,15.836,64.438
Task 436,16.513,79.674
Task 437,7.41,73.286
Task 438,13.854,59.33
Task 439,18.898,69.587
Task 440,16.505,72.995
Task 441,17.351,58.596
Task 442,11.925,77.751
Task 443,9.503,69.81
Task 444,7.638,63.325
Task 445,18.33,79.194
Task 446,10.331,68.835
Task 447,15.086,73.789
Task 448,11.478,65.48
Task 449,14.756,62.462
Task 450,15.911,72.225
Task 451,10.079,63.752
Task 452,17.645,59.418
Task 453,14.092,69.63
Task 454,16.853,76.025
Task 455,11.962,76.41
Task 456,11.691,61.116
Task 457,18.364,67.386
Task 458,10.611,60.579
Task 459,8.817,58.555
Task 460,15.678,79.447
Task 461,8.97,59.433
Task 462,11.472,78.483
Task 463,11.382,69.568
Task 464,12.323,65.476
Task 465,8.938,60.453
Task 466,12.025,67.748
Task 467,11.355,63.751
Task 468,8.69,70.833
Task 469,7.315,76.972
Task 470,18.226,61.905
Task 471,10.468,73.069
Task 472,12.193,61.698
Task 473,12.318,73.051
Task 474,13.672,75.44
Task 475,9.757,63.192
Task 476,12.632,70.015
Task 477,15.524,80.129
Task 478,12.491,59.021
Task 479,14.029,65.081
Task 480,18.32,73.158
Task 481,17.286,80.43
Task 482,17.148,76.789
Task 483,10.715,72.791
Task 484,12.905,75.85
Task 485,12.787,77.877
Task 486,10.176,66.439
Task 487,18.554,67.442
Task 488,17.176,63.088
Task 489,7.261,77.621
Task 490,17.529,59.421
Task 491,10.952,78.318
Task 492,13.476,77.068
Task 493,18.758,73.291
Task 494,13.947,64.424
Task 495,11.311,60.165
Task 496,15.938,76.814
Task 497,7.772,77.163
Task 498,7.866,65.671
Task 499,14.227,59.894
Task 500,12.599,66.102
Task 501,9.217,66.597
Task 502,10.571,61.078
Task 503,8.93,81.125
Task 504,13.181,71.325
Task 505,17.011,69.579
Task 506,17.758,63.252
Task 507,9.08,71.935
Task 508,10.928,65.764
Task 509,11.004,67.106
Task 510,8.928,62.768
Task 511,8.198,73.915
Task 512,12.834,66.561
Task 513,13.024,79.351
Task 514,16.408,66.662
Task 515,10.315,66.625
Task 516,7.573,73.837
Task 517,11.174,68.98
Task 518,12.08,68.247
Task 519,16.733,69.176
Task 520,14.421,73.64
Task 521,16.052,73.302
Task 522,14.764,61.431
Task 523,13.982,71.45
Task 524,16.837,81.501
Task 525,7.47,74.251
Task 526,8.556,72.497
Task 527,15.664,58.72
Task 528,11.545,73.967
Task 529,17.089,60.092
Task 530,11.222,64.258
Task 531,7.225,81.597
Task 532,13.857,73.028
Task 533,15.28,76.213
Task 534,18.65,78.35
Task 535,15.38,67.854
Task 536,10.305,63.046
Task 537,12.341,60.803
Task 538,12.03,79.396
Task 539,12.726,65.883
Task 540,8.36,78.526
Task 541,10.31,59.65
Task 542,18.172,66.899
Task 543,13.427,69.339
Task 544,9.16,78.399
Task 545,10.605,65.415
Task 546,11.155,81.829
Task 547,16.473,59.291
Task 548,15.132,74.35
Task 549,9.836,70.707
Task 550,14.372,66.377
Task 551,17.032,71.765
Task 552,9.565,62.31
Task 553,18.679,64.38
Task 554,16.762,62.891
Task 555,8.038,61.669
Task 556,9.067,79.855
Task 557,8.508,72.363
Task 558,10.452,71.811
Task 559,10.555,58.586
Task 560,12.528,65.539
Task 561,17.684,70.748
Task 562,11.89,80.348
Task 563,16.77,71.521
Task 564,9.858,73.345
Task 565,18.442,75.749
Task 566,13.416,60.603
Task 567,7.483,61.934
Task 568,13.835,79.491
Task 569,18.915,67.366
Task 570,17.989,80.332
Task 571,12.468,59.81
Task 572,7.907,60.928
Task 573,11.946,71.48
Task 574,12.119,73.091
Task 575,11.266,74.02
Task 576,16.358,62.151
Task 577,14.595,66.996
Task 578,13.297,63.956
Task 579,16.54,79.165
Task 580,16.698,74.093
Task 581,11.777,66.469
Task 582,14.839,61.709
Task 583,15.777,70.577
Task 584,11.842,60.118
Task 585,13.852,80.228
Task 586,18.812,64.483
Task 587,11.028,68.787
Task 588,8.063,67.713
Task 589,18.789,61.714
Task 590,8.584,68.377
Task 591,7.808,63.733
Task 592,11.884,73.526
Task 593,16.256,79.88
Task 594,13.127,77.046
Task 595,18.204,59.735
Task 596,18.599,78.833
Task 597,10.66,60.63
Task 598,8.47,76.638
Task 599,17.472,69.887
Task 600,16.365,58.591
Task 601,18.478,79.173
Task 602,14.086,79.23
Task 603,8.725,71.136
Task 604,14.833,59.866
Task 605,13.672,64.277
Task 606,16.585,71.891
Task 607,14.942,81.451
Task 608,13.394,74.142
Task 609,8.998,70.806
Task 610,7.671,62.773
Task 611,7.512,72.421
Task 612,16.835,58.365
Task 613,9.189,80.324
Task 614,17.319,78.252
Task 615,9.593,65.253
Task 616,12.35,64.421
Task 617,7.318,58.038
Task 618,13.39,63.801
Task 619,17.154,59.06
Task 620,13.701,61.793
Task 621,9.279,65.438
Task 622,9.523,77.529
Task 623,18.143,65.115
Task 624,15.829,71.596
Task 625,13.302,59.211
Task 626,13.606,63.355
Task 627,17.707,58.037
Task 628,10.748,69.833
Task 629,18.741,70.815
Task 630,16.085,65.761
Task 631,17.675,63.201
Task 632,13.403,80.31
Task 633,7.071,65.817
Task 634,14.943,62.816
Task 635,16.903,61.693
Task 636,9.383,69.724
Task 637,7.802,72.587
Task 638,16.851,71.85
Task 639,11.073,61.229
Task 640,9.51,58.964
Task 641,14.418,65.293
Task 642,7.724,69.594
Task 643,16.944,60.778
Task 644,12.996,77.056
Task 645,11.743,74.559
Task 646,10.641,64.997
Task 647,11.7,74.344
Task 648,8.231,77.66
Task 649,10.468,69.881
Task 650,10.339,66.376
Task 651,9.397,60.763
Task 652,11.292,75.313
Task 653,15.565,59.069
Task 654,15.208,69.224
Task 655,15.425,59.887
Task 656,12.926,60.822
Task 657,15.946,64.43
Task 658,14.593,70.153
Task 659,13.364,70.974
Task 660,13.889,70.983
Task 661,12.78,63.243
Task 662,11.386,70.652
Task 663,14.735,73.196
Task 664,15.732,75.03
Task 665,9.977,79.712
Task 666,17.494,80.295
Task 667,7.332,69.058
Task 668,17.687,77.629
Task 669,8.122,80.665
Task 670,8.256,59.7
Task 671,8.057,72.097
Task 672,9.9,64.91
Task 673,14.266,70.303
Task 674,14.807,80.445
Task 675,10.804,66.613
Task 676,17.534,79.025
Task 677,11.157,77.145
Task 678,15.812,79.394
Task 679,10.956,59.444
Task 680,16.119,69.283
Task 681,11.613,61.461
Task 682,7.936,81.201
Task 683,14.073,68.767
Task 684,10.26,81.701
Task 685,13.553,80.753
Task 686,12.5,64.345
Task 687,15.315,60.689
Task 688,10.297,67.256
Task 689,7.627,65.393
Task 690,15.32,67.499
Task 691,7.909,69.811
Task 692,10.926,81.732
Task 693,11.249,61.322
Task 694,15.621,60.448
Task 695,12.676,76.335
Task 696,17.47,65.069
Task 697,15.0,66.172
Task 698,18.723,58.395
Task 699,9.045,69.581
Task 700,10.528,67.455
Task 701,10.467,68.21
Task 702,18.241,62.093
Task 703,14.19,61.295
Task 704,17.721,69.956
Task 705,7.147,62.705
Task 706,13.42,68.579
Task 707,13.305,74.732
Task 708,8.901,68.586
Task 709,7.585,68.208
Task 710,17.206,60.045
Task 711,8.153,58.347
Task 712,10.375,65.516
Task 713,15.357,68.64
Task 714,15.492,73.827
Task 715,11.099,60.205
Task 716,9.343,63.282
Task 717,10.657,78.605
Task 718,9.369,73.584
Task 719,14.753,79.334
Task 720,15.246,61.394
Task 721,15.233,80.477
Task 722,18.578,77.579
Task 723,12.627,72.217
Task 724,11.764,66.331
Task 725,16.691,61.256
Task 726,10.32,75.873
Task 727,7.109,61.673
Task 728,15.519,69.34
Task 729,12.378,70.778
Task 730,8.516,74.876
Task 731,17.095,69.707
Task 732,12.294,59.053
Task 733,18.21,79.363
Task 734,11.103,62.172
Task 735,17.567,58.574
Task 736,10.798,68.57
Task 737,7.241,66.506
Task 738,10.682,61.782
Task 739,18.788,70.001
Task 740,18.022,80.685
Task 741,18.27,73.673
Task 742,14.666,70.44
Task 743,11.825,69.429
Task 744,18.014,61.629
Task 745,11.45,64.568
Task 746,8.47,77.094
Task 747,13.195,73.029
Task 748,11.707,77.609
Task 749,9.738,62.254
Task 750,14.875,80.031
Task 751,17.46,58.59
Task 752,15.819,68.485
Task 753,13.458,81.405
Task 754,12.789,64.927
Task 755,12.763,75.139
Task 756,8.891,69.66
Task 757,13.927,75.428
Task 758,7.929,71.671
Task 759,13.865,74.907
Task 760,15.832,58.928
Task 761,11.919,81.656
Task 762,7.176,76.017
Task 763,18.845,79.123
Task 764,17.37,69.906
Task 765,18.245,81.23
Task 766,11.122,64.683
Task 767,18.215,78.943
Task 768,17.269,74.134
Task 769,15.181,77.435
Task 770,12.368,75.358
Task 771,10.357,77.574
Task 772,14.261,73.812
Task 773,12.534,79.124
Task 774,15.238,69.19
Task 775,7.872,76.355
Task 776,8.569,70.3
Task 777,13.279,73.376
Task 778,7.58,58.615
Task 779,15.922,71.52
Task 780,17.679,68.601
Task 781,12.112,60.086
Task 782,16.443,60.422
Task 783,11.309,81.635
Task 784,9.842,74.661
Task 785,8.853,72.691
Task 786,7.338,77.229
Task 787,7.438,66.21
Task 788,12.517,60.791
Task 789,15.135,78.051
Task 790,13.391,76.41
Task 791,12.935,70.148
Task 792,8.979,68.401
Task 793,14.23,60.398
Task 794,14.084,70.24
Task 795,10.141,71.147
Task 796,8.205,60.555
Task 797,10.483,58.12
Task 798,13.35,68.335
Task 799,7.614,72.265
Task 800,18.972,68.75
Task 801,18.69,77.483
Task 802,14.215,68.461
Task 803,7.881,66.678
Task 804,7.232,62.882
Task 805,9.703,61.295
Task 806,11.504,70.856
Task 807,16.383,79.488
Task 808,17.01,70.575
Task 809,10.029,80.474
Task 810,12.82,60.346
Task 811,10.952,67.789
Task 812,8.378,76.434
Task 813,13.529,72.025
Task 814,12.729,61.643
Task 815,17.341,77.576
Task 816,12.279,70.382
Task 817,9.49,77.487
Task 818,7.342,64.604
Task 819,8.57,76.887
Task 820,8.781,80.936
Task 821,18.386,61.203
Task 822,14.599,76.41
Task 823,11.16,76.514
Task 824,15.934,64.959
Task 825,10.243,76.371
Task 826,15.724,61.853
Task 827,7.074,59.876
Task 828,14.127,68.468
Task 829,10.5,68.536
Task 830,12.376,66.684
Task 831,9.249,74.054
Task 832,7.072,75.648
Task 833,17.786,65.617
Task 834,17.27,79.102
Task 835,17.39,65.827
Task 836,13.515,58.207
Task 837,18.366,80.696
Task 838,10.201,59.175
Task 839,13.004,80.322
Task 840,16.461,79.358
Task 841,10.189,80.246
Task 842,15.251,76.007
Task 843,13.637,77.349
Task 844,16.826,66.833
Task 845,12.17,74.279
Task 846,16.846,70.949
Task 847,8.302,60.293
Task 848,11.788,61.654
Task 849,16.32,58.397
Task 850,16.266,65.752
Task 851,17.183,65.349
Task 852,9.758,62.096
Task 853,10.124,67.9
Task 854,8.887,63.351
Task 855,7.943,79.801
Task 856,16.528,66.26
Task 857,17.917,64.063
Task 858,7.638,71.6
Task 859,13.549,80.329
Task 860,7.243,58.581
Task 861,16.485,74.817
Task 862,15.598,61.444
Task 863,13.902,68.331
Task 864,11.931,72.703
Task 865,11.778,80.837
Task 866,14.052,77.36
Task 867,13.742,65.262
Task 868,15.38,64.314
Task 869,15.052,65.853
Task 870,18.18,73.815
Task 871,12.626,78.226
Task 872,16.01,65.404
Task 873,8.657,81.432
Task 874,18.457,74.894
Task 875,10.567,74.44
Task 876,9.244,69.671
Task 877,7.844,70.635
Task 878,11.641,63.356
Task 879,7.22,79.621
Task 880,18.406,74.098
Task 881,12.096,74.056
Task 882,8.675,76.839
Task 883,15.667,81.622
Task 884,13.836,62.808
Task 885,15.275,80.868
Task 886,8.381,80.557
Task 887,17.835,63.739
Task 888,18.475,64.39
Task 889,10.556,68.114
Task 890,16.231,71.235
Task 891,14.687,77.988
Task 892,8.364,59.442
Task 893,12.5,59.712
Task 894,7.425,70.707
Task 895,11.091,65.546
Task 896,16.199,65.431
Task 897,10.057,73.83
Task 898,16.436,62.143
Task 899,12.901,73.374
Task 900,18.808,71.976
Task 901,10.288,71.38
Task 902,13.124,79.07
Task 903,18.435,62.375
Task 904,13.155,74.97
Task 905,8.275,68.333
Task 906,15.628,58.523
Task 907,18.957,80.177
Task 908,15.033,61.719
Task 909,18.824,72.998
Task 910,15.478,70.675
Task 911,17.124,71.282
Task 912,11.213,69.061
Task 913,16.821,63.417
Task 914,13.245,81.774
Task 915,13.311,74.951
Task 916,18.51,81.469
Task 917,13.418,78.222
Task 918,9.825,59.089
Task 919,9.476,66.188
Task 920,8.701,75.067
Task 921,18.607,71.571
Task 922,7.093,79.987
Task 923,12.085,73.394
Task 924,10.406,71.803
Task 925,8.055,63.359
Task 926,10.366,60.705
Task 927,9.306,73.17
Task 928,9.448,78.518
Task 929,10.362,72.464
Task 930,8.323,63.322
Task 931,13.402,73.271
Task 932,14.701,69.174
Task 933,8.512,81.434
Task 934,17.667,78.639
Task 935,7.253,62.312
Task 936,7.969,62.747
Task 937,7.246,63.997
Task 938,7.659,61.788
Task 939,10.765,71.833
Task 940,11.054,75.215
Task 941,8.95,79.562
Task 942,15.088,80.166
Task 943,14.496,77.446
Task 944,16.555,61.014
Task 945,11.508,79.536
Task 946,11.728,73.774
Task 947,17.999,65.454
Task 948,12.045,71.281
Task 949,12.26,69.052
Task 950,10.337,59.836
Task 951,9.528,65.789
Task 952,11.845,64.963
Task 953,16.234,73.412
Task 954,14.405,79.0
Task 955,11.755,62.178
Task 956,10.179,71.008
Task 957,10.083,79.593
Task 958,13.874,64.603
Task 959,18.252,69.622
Task 960,17.682,81.908
Task 961,14.07,60.961
Task 962,11.868,59.829
Task 963,15.571,73.742
Task 964,13.747,79.347
Task 965,18.361,73.396
Task 966,8.278,72.874
Task 967,18.119,79.203
Task 968,9.911,73.486
Task 969,14.081,68.666
Task 970,10.673,70.776
Task 971,18.446,68.864
Task 972,15.36,78.356
Task 973,15.999,77.962
Task 974,17.292,74.163
Task 975,11.172,60.931
Task 976,8.736,78.564
Task 977,9.239,78.806
Task 978,7.059,63.032
Task 979,9.806,65.427
Task 980,18.691,60.719
Task 981,11.145,60.316
Task 982,9.72,75.12
Task 983,13.189,60.089
Task 984,17.201,74.65
Task 985,8.675,71.608
Task 986,13.535,68.279
Task 987,9.173,61.674
Task 988,15.563,74.817
Task 989,13.364,80.308
Task 990,14.953,69.602
Task 991,12.863,67.1
Task 992,9.178,73.111
Task 993,8.445,70.175
Task 994,8.981,75.599
Task 995,17.376,62.481
Task 996,8.726,62.399
Task 997,18.353,61.876
Task 998,18.427,65.824
Task 999,16.532,60.113
Task 1000,11.519,67.028
Task 1001,13.685,66.511
Task 1002,18.453,77.795
Task 1003,11.736,80.228
Task 1004,12.019,65.259
Task 1005,10.816,79.939
Task 1006,7.715,70.565
Task 1007,8.294,62.297
Task 1008,10.09,81.034
Task 1009,9.907,60.7
Task 1010,14.078,67.215
Task 1011,10.746,60.65
Task 1012,16.606,69.853
Task 1013,11.329,76.658
Task 1014,8.236,73.84
Task 1015,12.495,62.34
Task 1016,9.522,66.072
Task 1017,10.437,70.784
Task 1018,11.485,65.575
Task 1019,8.906,58.269
Task 1020,15.344,59.585
Task 1021,10.223,67.108
Task 1022,13.882,76.65
Task 1023,12.687,70.363
Task 1024,15.819,79.308
Task 1025,9.804,64.257
Task 1026,17.057,79.263
Task 1027,15.117,59.389
Task 1028,16.861,60.929
Task 1029,15.563,65.848
Task 1030,14.279,76.427
Task 1031,16.856,70.545
Task 1032,17.19,81.636
Task 1033,12.438,68.045
Task 1034,13.094,67.293
Task 1035,10.271,75.976
Task 1036,14.867,66.185
Task 1037,11.944,62.456
Task 1038,10.461,65.452
Task 1039,15.646,67.975
Task 1040,7.981,79.921
Task 1041,14.797,76.983
Task 1042,16.628,79.64
Task 1043,18.616,73.468
Task 1044,7.802,63.21
Task 1045,14.14,81.316
Task 1046,9.426,81.177
Task 1047,11.039,73.635
Task 1048,11.263,68.496
Task 1049,9.894,68.899
Task 1050,8.449,80.623
Task 1051,17.24,58.071
Task 1052,18.516,65.449
Task 1053,18.341,70.399
Task 1054,14.446,73.292
Task 1055,16.508,69.74
Task 1056,11.46,68.267
Task 1057,9.092,72.101
Task 1058,16.695,67.923
Task 1059,18.499,76.282
Task 1060,9.17,64.367
Task 1061,10.289,69.379
Task 1062,18.463,74.661
Task 1063,13.677,78.926
Task 1064,9.839,79.063
Task 1065,15.332,75.964
Task 1066,7.82,62.928
Task 1067,11.45,75.141
Task 1068,11.383,74.42
Task 1069,15.102,77.635
